question_id,question_title,schema_variant_count,proposed_form_count,accepted_form_count,published_form_count
question:address:city,City,1,2,0,0
question:address:country,Country,1,2,0,0
question:address:county,County or parish,1,2,0,0
question:address:postal-code,ZIP or postal code,1,2,0,0
question:address:province,Province,1,2,0,0
question:address:state,State,1,2,0,0
question:address:street-1,Street 1,1,2,0,0
question:address:street-2,Street 2,1,2,0,0
question:application-funding:applicant-estimated,Applicant Estimated Funding,1,1,0,0
question:application-funding:federal-estimated,Federal Estimated Funding,1,1,0,0
question:application-funding:local-estimated,Local Estimated Funding,1,1,0,0
question:application-funding:other-estimated,Other Estimated Funding,1,1,0,0
question:application-funding:program-income-estimated,Program Income Estimated Funding,1,1,0,0
question:application-funding:state-estimated,State Estimated Funding,1,1,0,0
question:application:agency-name,Agency Name,1,1,0,0
question:application:aor-signature,AOR Signature,1,1,0,0
question:application:aor-signed-date,Date Signed,1,1,0,0
question:application:applicant-id,Applicant Identifier,1,1,0,0
question:application:assistance-listing-number,Assistance Listing Number,1,1,0,0
question:application:assistance-listing-title,Assistance Listing Title,1,1,0,0
question:application:certification-agreement,Certification Agree,1,1,0,0
question:application:competition-identification-number,Competition Number,1,1,0,0
question:application:competition-identification-title,Competition Title,1,1,0,0
question:application:delinquent-federal-debt,Applicant Delinquent on Federal Debt,1,1,0,0
question:application:federal-entity-identifier,Federal Entity Identifier,1,1,0,0
question:application:funding-opportunity-number,Opportunity Number,1,1,0,0
question:application:funding-opportunity-title,Opportunity title,1,1,0,0
question:application:prior-federal-award-id,Federal Award Identifier,1,1,0,0
question:application:received-date,Date Received,1,1,0,0
question:application:revision-other,Other Explanation,1,1,0,0
question:application:revision-type,Revision Type,1,1,0,0
question:application:state-application-id,State Application Identifier,1,1,0,0
question:application:state-received-date,Date Received By State,1,1,0,0
question:application:state-review-date,State Review Date,1,1,0,0
question:application:state-review-status,Is Application Subject to Review By State Under Executive Order 12372 Process?,1,1,0,0
question:application:submission-type,Submission Type,1,1,0,0
question:application:type,Application Type,1,1,0,0
question:attachment:additional-congressional-districts,Additional Congressional Districts,1,1,0,0
question:attachment:additional-project-titles,Additional Project Title,1,1,0,0
question:attachment:areas-affected,Areas Affected,1,1,0,0
question:attachment:delinquent-federal-debt-explanation,Debt Explanation,1,1,0,0
question:budget:budgetjustificationattachment,BudgetJustificationAttachment | L. Budget Justification (Only attach one file.),2,4,0,0
question:budget:budgettype,Budget Type:,1,4,0,0
question:budget:budgetyear-budgetperiodenddate,End Date:,1,4,0,0
question:budget:budgetyear-budgetperiodstartdate,Start Date:,1,4,0,0
question:budget:budgetyear-cognizantfederalagency,"Cognizant Federal Agency (Agency Name, POC Name, and POC Phone Number)",1,4,0,0
question:budget:budgetyear-equipment-additionalequipmentsattachment,Additional Equipment: | AdditionalEquipmentsAttachment,2,4,0,0
question:budget:budgetyear-equipment-equipmentlist-equipmentitem,Equipment Item,1,4,0,0
question:budget:budgetyear-equipment-equipmentlist-fundsrequested,Equipment Item Funds Requested,1,4,0,0
question:budget:budgetyear-equipment-totalfundforattachedequipment,Total funds requested for all equipment listed in the attached file,1,4,0,0
question:budget:budgetyear-fee,Fee,2,4,0,0
question:budget:budgetyear-indirectcosts-indirectcost-base,Indirect Cost Base,1,4,0,0
question:budget:budgetyear-indirectcosts-indirectcost-costtype,Indirect Cost Type,1,4,0,0
question:budget:budgetyear-indirectcosts-indirectcost-fundrequested,Indirect Costs Funds Requested,1,4,0,0
question:budget:budgetyear-indirectcosts-indirectcost-rate,Indirect Cost Rate | Rate,2,4,0,0
question:budget:budgetyear-keypersons-attachedkeypersons,Additional Senior Key Persons: | AttachedKeyPersons,2,4,0,0
question:budget:budgetyear-keypersons-keyperson-academicmonths,Senior/Key Person Academic Months,1,4,0,0
question:budget:budgetyear-keypersons-keyperson-basesalary,Senior/Key Person Base Salary,1,4,0,0
question:budget:budgetyear-keypersons-keyperson-calendarmonths,Senior/Key Person Calendar Months,1,4,0,0
question:budget:budgetyear-keypersons-keyperson-fringebenefits,Senior/Key Person Fringe Benefits,1,4,0,0
question:budget:budgetyear-keypersons-keyperson-projectrole,Project Role:,1,4,0,0
question:budget:budgetyear-keypersons-keyperson-requestedsalary,Senior/Key Person Requested Salary,1,4,0,0
question:budget:budgetyear-keypersons-keyperson-summermonths,Senior/Key Person Summer Months,1,4,0,0
question:budget:budgetyear-keypersons-totalfundforattachedkeypersons,Total Funds requested for all Senior Key Persons in the attached file,1,4,0,0
question:budget:budgetyear-otherdirectcosts-adpcomputerservices,4. ADP/Computer Services,1,4,0,0
question:budget:budgetyear-otherdirectcosts-alterationsrenovations,7. Alterations and Renovations,1,4,0,0
question:budget:budgetyear-otherdirectcosts-consultantservices,3. Consultant Services,1,4,0,0
question:budget:budgetyear-otherdirectcosts-equipmentrentalfee,6. Equipment or Facility Rental/User Fees,1,4,0,0
question:budget:budgetyear-otherdirectcosts-materialssupplies,1. Materials and Supplies,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost1-cost,Additional Other Direct Cost Funds Requested,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost1-description,Additional Other Direct Cost Description,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost10-cost,Additional Other Direct Cost Funds Requested,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost10-description,Additional Other Direct Cost Description,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost2-cost,Additional Other Direct Cost Funds Requested,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost2-description,Additional Other Direct Cost Description,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost3-cost,Additional Other Direct Cost Funds Requested,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost3-description,Additional Other Direct Cost Description,1,4,0,0
