semantic_identity,question_id,role,proposed_form_count,accepted_form_count,published_form_count
question:address:city::role:applicant_organization,question:address:city,applicant_organization,1,0,0
question:address:city::role:key_contact,question:address:city,key_contact,1,0,0
question:address:country::role:applicant_organization,question:address:country,applicant_organization,1,0,0
question:address:country::role:key_contact,question:address:country,key_contact,1,0,0
question:address:county::role:applicant_organization,question:address:county,applicant_organization,1,0,0
question:address:county::role:key_contact,question:address:county,key_contact,1,0,0
question:address:postal-code::role:applicant_organization,question:address:postal-code,applicant_organization,1,0,0
question:address:postal-code::role:key_contact,question:address:postal-code,key_contact,1,0,0
question:address:province::role:applicant_organization,question:address:province,applicant_organization,1,0,0
question:address:province::role:key_contact,question:address:province,key_contact,1,0,0
question:address:state::role:applicant_organization,question:address:state,applicant_organization,1,0,0
question:address:state::role:key_contact,question:address:state,key_contact,1,0,0
question:address:street-1::role:applicant_organization,question:address:street-1,applicant_organization,1,0,0
question:address:street-1::role:key_contact,question:address:street-1,key_contact,1,0,0
question:address:street-2::role:applicant_organization,question:address:street-2,applicant_organization,1,0,0
question:address:street-2::role:key_contact,question:address:street-2,key_contact,1,0,0
question:application-funding:applicant-estimated::role:application_funding,question:application-funding:applicant-estimated,application_funding,1,0,0
question:application-funding:federal-estimated::role:application_funding,question:application-funding:federal-estimated,application_funding,1,0,0
question:application-funding:local-estimated::role:application_funding,question:application-funding:local-estimated,application_funding,1,0,0
question:application-funding:other-estimated::role:application_funding,question:application-funding:other-estimated,application_funding,1,0,0
question:application-funding:program-income-estimated::role:application_funding,question:application-funding:program-income-estimated,application_funding,1,0,0
question:application-funding:state-estimated::role:application_funding,question:application-funding:state-estimated,application_funding,1,0,0
question:application:agency-name::role:application,question:application:agency-name,application,1,0,0
question:application:aor-signature::role:authorized_organization_representative,question:application:aor-signature,authorized_organization_representative,1,0,0
question:application:aor-signed-date::role:authorized_organization_representative,question:application:aor-signed-date,authorized_organization_representative,1,0,0
question:application:applicant-id::role:application,question:application:applicant-id,application,1,0,0
question:application:assistance-listing-number::role:application,question:application:assistance-listing-number,application,1,0,0
question:application:assistance-listing-title::role:application,question:application:assistance-listing-title,application,1,0,0
question:application:certification-agreement::role:application,question:application:certification-agreement,application,1,0,0
question:application:competition-identification-number::role:application,question:application:competition-identification-number,application,1,0,0
question:application:competition-identification-title::role:application,question:application:competition-identification-title,application,1,0,0
question:application:delinquent-federal-debt::role:application,question:application:delinquent-federal-debt,application,1,0,0
question:application:federal-entity-identifier::role:application,question:application:federal-entity-identifier,application,1,0,0
question:application:funding-opportunity-number::role:application,question:application:funding-opportunity-number,application,1,0,0
question:application:funding-opportunity-title::role:application,question:application:funding-opportunity-title,application,1,0,0
question:application:prior-federal-award-id::role:application,question:application:prior-federal-award-id,application,1,0,0
question:application:received-date::role:application,question:application:received-date,application,1,0,0
question:application:revision-other::role:application,question:application:revision-other,application,1,0,0
question:application:revision-type::role:application,question:application:revision-type,application,1,0,0
question:application:state-application-id::role:application,question:application:state-application-id,application,1,0,0
question:application:state-received-date::role:application,question:application:state-received-date,application,1,0,0
question:application:state-review-date::role:application,question:application:state-review-date,application,1,0,0
question:application:state-review-status::role:application,question:application:state-review-status,application,1,0,0
question:application:submission-type::role:application,question:application:submission-type,application,1,0,0
question:application:type::role:application,question:application:type,application,1,0,0
question:attachment:additional-congressional-districts::role:project,question:attachment:additional-congressional-districts,project,1,0,0
question:attachment:additional-project-titles::role:project,question:attachment:additional-project-titles,project,1,0,0
question:attachment:areas-affected::role:application,question:attachment:areas-affected,application,1,0,0
question:attachment:delinquent-federal-debt-explanation::role:application,question:attachment:delinquent-federal-debt-explanation,application,1,0,0
question:budget:budgetjustificationattachment::role:applicant_budget,question:budget:budgetjustificationattachment,applicant_budget,2,0,0
question:budget:budgetjustificationattachment::role:multi_project_applicant_budget,question:budget:budgetjustificationattachment,multi_project_applicant_budget,1,0,0
question:budget:budgetjustificationattachment::role:subaward_applicant_budget,question:budget:budgetjustificationattachment,subaward_applicant_budget,1,0,0
question:budget:budgettype::role:applicant_budget,question:budget:budgettype,applicant_budget,2,0,0
question:budget:budgettype::role:multi_project_applicant_budget,question:budget:budgettype,multi_project_applicant_budget,1,0,0
question:budget:budgettype::role:subaward_applicant_budget,question:budget:budgettype,subaward_applicant_budget,1,0,0
question:budget:budgetyear-budgetperiodenddate::role:applicant_budget,question:budget:budgetyear-budgetperiodenddate,applicant_budget,2,0,0
question:budget:budgetyear-budgetperiodenddate::role:multi_project_applicant_budget,question:budget:budgetyear-budgetperiodenddate,multi_project_applicant_budget,1,0,0
